country,year,medals,iso3,abr,co2_prod,coef_ineq,diff_hdi_phdi,eys,gdi,gdi_group,gii,gii_rank,gnipc,hdi,hdi_f,ihdi,ineq_edu,ineq_inc,ineq_le,le,loss,mf,mmr,mys,phdi,pop_total,GDP (current US$),medals_per_capita,gdp per capita
Italy,2022,17,ITA,2.988,5.770441669,11.38318543,12.48618785,16.71419907,0.975,,0.046,,50899.81582,0.905,0.892024377,0.799,10.00731215,20.84747124,3.2947729,82.052,11.71270718,15.6802,4.590938693,10.82812827,0.792,59619114.5,2103000000000.0,2.851434500926712e-07,35273.922090875734
Italy,2020,34,ITA,3.295,5.085705132,11.5341617,11.23470523,16.53112984,0.975,,0.048,,47034.06546,0.899,0.885881074,0.792,10.213,21.6092701,2.780215,82.181,11.90211346,14.2645,4.590938693,10.73999977,0.798,59912769.0,1907480000000.0,5.674917144957864e-07,31837.620457835957
Italy,2018,8,ITA,4.064,5.829611076,12.42980051,12.74944568,16.28825951,0.969,,0.056,,49926.21106,0.902,0.886192587,0.786,10.6006,23.63069534,3.0581062,83.184,12.86031042,16.0687,4.887534343,10.56800003,0.787,60277498.5,2099440000000.0,1.3271950892255425e-07,34829.58072654591
Italy,2016,26,ITA,4.766,5.957295165,13.12335375,12.19239374,15.95277023,0.97,,0.074,,48355.45252,0.894,0.878633052,0.773,11.5156,24.83426094,3.0202003,83.046,13.53467562,15.088,6.315458526,10.39600029,0.785,60478107.5,1887110000000.0,4.299076322783414e-07,31203.19199803003
Italy,2014,5,ITA,5.593,5.792177288,12.89648707,12.24719101,15.96411991,0.969,,0.081,,46444.01832,0.89,0.873441242,0.771,11.5118,24.1625824,3.0150788,82.901,13.37078652,15.3504,6.462786807,10.22000027,0.781,60664171.5,2173260000000.0,8.242097231971593e-08,35824.44046070917
Italy,2012,7,ITA,6.412,6.702779998,12.21269342,13.75422773,16.17153931,0.971,,0.114,,47721.3659,0.887,0.872067955,0.776,12.8617,20.59111595,3.1852643,82.252,12.51409245,16.9359,6.784686474,10.02000046,0.765,60531515.0,2097930000000.0,1.1564224024460646e-07,34658.475010909606
Italy,2008,25,ITA,7.072,8.073152089,,17.06214689,16.35217094,0.969,,0.126,,51316.66502,0.885,0.868693928,,,,,81.645,,21.1999,6.758198907,9.649999619,0.734,59561684.0,2417510000000.0,4.1973292763179763e-07,40588.34199516589
Italy,2004,21,ITA,7.147,8.653300729,,18.19221968,16.06414986,0.963,,0.176,,52047.45165,0.874,0.85419844,,,,,81.017,,22.6429,7.899387978,9.162500381,0.715,58176737.5,1812810000000.0,3.6096902133778126e-07,31160.392931968727
Italy,2002,11,ITA,6.927,8.354504342,,17.74941995,15.64844036,0.957,,0.187,,51687.65919,0.862,0.839374808,,,,,80.112,,22.1513,9.381419096,8.947500229,0.709,57420627.5,1281750000000.0,1.9156878771483298e-07,22322.11760486247
Italy,1996,28,ITA,6.942,7.782954184,,15.44028951,14.72264957,0.951,,0.211,,46166.24156,0.829,0.803917637,,,,,78.438,,18.659,13.97905616,8.223730521,0.701,57162091.5,1314780000000.0,4.898351208860158e-07,23000.907865661284
Italy,1992,28,ITA,8.086,7.70563888,,17.5,13.53209972,0.944,,0.23,,43541.85504,0.8,0.773429372,,,,,77.365,,22.4304,14.84771863,7.699289145,0.66,57124989.5,1323200000000.0,4.901532629603372e-07,23163.242769611363
Italy,2010,5,ITA,6.854,7.283391102,12.14405865,15.33258174,16.23377037,0.969,,0.123,,49572.91561,0.887,0.870472056,0.777,12.4945,20.59111595,3.34656,82.132,12.40135287,19.1176,6.729222899,9.819999695,0.751,60164213.0,2144940000000.0,8.310588222935785e-08,35651.42620580776
Italy,2006,5,ITA,6.639,8.487724171,,17.70715096,16.31435013,0.965,,0.14,,52522.80554,0.881,0.862424723,,,,,81.414,,22.0258,7.239069195,9.390000343,0.725,58754433.0,1958560000000.0,8.509996173395121e-08,33334.67621072949
Italy,2000,23,ITA,7.176,8.243401808,,16.96113074,15.08234024,0.955,,0.186,,50336.8363,0.849,0.826057503,,,,,79.607,,20.8895,10.0731764,8.75429378,0.705,57272196.5,1149660000000.0,4.0159102331617404e-07,20073.61460285533
Italy,1998,7,ITA,6.322,8.093314256,,16.42857143,15.09490967,0.957,,0.191,,48327.04569,0.84,0.817953579,,,,,78.807,,20.0836,11.64219701,8.48901215,0.702,57215194.5,1272730000000.0,1.2234512285018973e-07,22244.61545787457
Italy,1994,14,ITA,7.629,7.462684599,,15.31862745,14.36686993,0.95,,0.223,,43902.09342,0.816,0.791266632,,,,,77.873,,18.8113,14.54494943,7.960489519,0.691,57420138.0,1101750000000.0,2.438168992209667e-07,19187.519194050004
Norway,2022,36,NOR,1.411,7.509312574,6.286640263,25.85315408,18.79285049,0.997,,0.004,,113454.0095,0.967,0.964572165,0.904,2.05828622,14.27021027,2.5314243,82.631,6.514994829,37.7529,1.663741403,13.11796218,0.717,5456801.5,593727000000.0,6.597271313607431e-06,108804.94736706109
Norway,2020,5,NOR,1.776,7.663983997,5.90904154,24.56140351,18.3110199,0.99,,0.009,,78355.78043,0.969,0.957305754,0.91,2.3289,12.90659142,2.4916332,83.195,6.08875129,35.3895,1.663741403,13.0588479,0.731,5379273.5,367633000000.0,9.294935459221398e-07,68342.50015359881
Norway,2018,37,NOR,2.602,8.358871454,5.997211093,24.94824017,18.14512062,0.997,,0.018,,87121.82464,0.966,0.959596575,0.906,2.3289,12.90364838,2.7590849,82.76,6.211180124,35.2595,1.993203858,12.9749999,0.725,5311752.5,439789000000.0,6.96568599534711e-06,82795.46157318135
Norway,2016,3,NOR,3.904,8.531888118,5.933683093,24.63617464,17.95096016,0.993,,0.034,,81603.00032,0.962,0.951068239,0.903,2.14777,12.90364838,2.7496309,82.415,6.133056133,34.417,2.232427512,12.81999969,0.725,5235983.0,370957000000.0,5.729583155636678e-07,70847.63262218384
Norway,2014,23,NOR,5.084,8.750228448,5.72034813,24.89539749,17.68444061,0.999,,0.045,,86757.77703,0.956,0.951343501,0.9,2.14777,12.06626129,2.9470131,82.087,5.857740586,34.696,2.582391512,12.71000004,0.718,5137395.0,501736000000.0,4.476977145031675e-06,97663.504558244
Norway,2012,1,NOR,6.176,8.812015646,5.55004275,24.84210526,17.45492935,1.001,,0.054,,86392.10063,0.95,0.94611131,0.896,1.86209,11.72865105,3.0593872,81.446,5.684210526,34.3937,3.192645797,12.64333312,0.714,5018457.5,512777000000.0,1.9926441541051208e-07,102178.20914095615
Norway,2010,19,NOR,8.421,9.329942015,5.63667025,25.7655755,17.52806091,0.997,,0.07,,81976.89052,0.947,0.93964089,0.893,1.8575,11.72865105,3.3238597,81.039,5.702217529,35.6114,4.020855714,12.55000019,0.703,4889162.0,431052000000.0,3.886146542086354e-06,88164.80206628457
Norway,2004,6,NOR,8.036,9.632694195,,23.37246531,17.55905914,0.994,,0.07,,73199.80624,0.937,0.926509301,,,,,79.965,,30.9058,5.531920118,12.22999954,0.718,4591742.5,265269000000.0,1.3066934829206994e-06,57770.878920148505
Norway,2002,23,NOR,9.821,9.376133375,,22.10184182,17.09057045,0.996,,0.083,,68218.59615,0.923,0.918160452,,,,,78.96,,28.9131,5.144488329,12.1557139,0.719,4538014.0,195915000000.0,5.068296395736108e-06,43171.96905959303
Norway,2000,7,NOR,11.777,9.376109113,,21.21212121,17.42749023,0.996,,0.096,,68717.51294,0.924,0.918205111,,,,,78.692,,27.207,5.730137395,12.08142826,0.728,4490867.0,171457000000.0,1.5587190624883792e-06,38179.042042438574
Norway,1998,22,NOR,12.33,9.436159142,,23.1277533,16.86597061,0.987,,0.099,,57239.64716,0.908,0.900984397,,,,,78.408,,30.7129,4.790388599,12.00714261,0.698,4431313.0,154230000000.0,4.964668485390222e-06,34804.582750078815
Norway,1992,23,NOR,16.79,8.023688942,,18.31797235,14.64008999,0.981,,0.121,,46772.93827,0.868,0.858271522,,,,,77.246,,23.6328,6.361337159,11.78428568,0.709,4286260.5,130838000000.0,5.365982772162355e-06,30524.97625844253
Norway,2008,8,NOR,9.198,9.36847169,,25.98091198,17.37862015,1.005,,0.079,,88712.28472,0.943,0.941686396,,,,,80.677,,35.8877,4.507228687,12.47999954,0.698,4768101.0,464918000000.0,1.6778168079912737e-06,97505.90434221087
Norway,2006,17,NOR,8.37,9.405960455,,24.73460722,17.53119087,0.999,,0.073,,84296.00817,0.942,0.936130393,,,,,80.44,,33.5527,5.150477823,12.36999989,0.709,4660494.0,346915000000.0,3.6476819839270257e-06,74437.38796788495
Norway,1996,5,NOR,13.595,9.477098078,,19.57494407,15.81328964,0.981,,0.105,,55224.14518,0.894,0.884263032,,,,,78.233,,24.1577,5.496363481,11.93285697,0.719,4381134.5,163520000000.0,1.1412569050322468e-06,37323.6658221746
Norway,1994,23,NOR,15.032,8.728447804,,18.53932584,16.23529053,0.978,,0.113,,49559.48432,0.89,0.878669602,,,,,77.773,,23.2113,5.968126834,11.85857133,0.725,4336467.0,127131000000.0,5.3038568032455915e-06,29316.722576235446
Sweden,2022,18,SWE,2.016,3.552295701,7.501530492,15.53701773,18.99147034,0.989,,0.009,,67099.33899,0.959,0.949510375,0.885,2.906477265,16.94297981,2.6551344,83.046,7.71637122,23.7868,4.507839264,12.74032574,0.81,10487338.0,579896000000.0,1.7163554755267733e-06,55294.87082422632
Sweden,2020,8,SWE,2.75,3.539647963,6.78607135,15.77287066,18.65209007,0.989,,0.017,,62091.82621,0.951,0.94177029,0.885,3.502,14.05325985,2.8029542,82.427,6.940063091,24.2205,4.507839264,12.67499519,0.801,10353686.5,545148000000.0,7.726716469539617e-07,52652.55037420729
