country,game,medals,host,value
Australia,1896,2,0,-1.3755346449957226
Australia,1900,5,0,-1.136869118905047
Australia,1904,4,0,-1.2164242942686057
Australia,1906,3,0,-1.295979469632164
Australia,1908,0,0,-1.5346449957228399
Australia,1912,0,0,-1.5346449957228399
Australia,1920,3,0,-1.295979469632164
Australia,1924,6,0,-1.0573139435414884
Australia,1928,4,0,-1.2164242942686057
Australia,1932,5,0,-1.136869118905047
Australia,1936,1,0,-1.4550898203592812
Australia,1948,13,0,-0.5004277159965782
Australia,1952,11,0,-0.6595380667236954
Australia,1960,22,0,0.2155688622754492
Australia,1964,17,0,-0.1822070145423438
Australia,1968,17,0,-0.1822070145423438
Australia,1972,17,0,-0.1822070145423438
Australia,1976,5,0,-1.136869118905047
Australia,1980,9,0,-0.8186484174508126
Australia,1984,24,0,0.37467921300256635
Australia,1988,14,0,-0.42087254063301954
Australia,1992,27,0,0.6133447390932422
Australia,1996,40,0,1.647562018819504
Australia,2004,50,0,2.4431137724550895
Australia,2008,46,0,2.124893071000855
Australia,2012,35,0,1.249786142001711
Australia,2016,29,0,0.7724550898203594
Australia,2020,46,0,2.124893071000855
Australia,2024,53,0,2.681779298545766
Australia,1956,33,1,1.090675791274594
Australia,2000,57,1,3.0
Belgium,1896,0,0,-0.5009652509652509
Belgium,1900,14,0,0.7557915057915057
Belgium,1904,0,0,-0.5009652509652509
Belgium,1906,6,0,0.037644787644787604
Belgium,1908,6,0,0.037644787644787604
Belgium,1912,6,0,0.037644787644787604
Belgium,1924,13,0,0.6660231660231659
Belgium,1928,3,0,-0.2316602316602317
Belgium,1932,1,0,-0.4111969111969112
Belgium,1936,3,0,-0.2316602316602317
Belgium,1948,7,0,0.12741312741312738
Belgium,1952,4,0,-0.14189189189189189
Belgium,1956,2,0,-0.3214285714285714
Belgium,1960,4,0,-0.14189189189189189
Belgium,1964,3,0,-0.2316602316602317
Belgium,1968,2,0,-0.3214285714285714
Belgium,1972,2,0,-0.3214285714285714
Belgium,1976,6,0,0.037644787644787604
Belgium,1980,1,0,-0.4111969111969112
Belgium,1984,4,0,-0.14189189189189189
Belgium,1988,2,0,-0.3214285714285714
Belgium,1992,3,0,-0.2316602316602317
Belgium,1996,6,0,0.037644787644787604
Belgium,2000,5,0,-0.05212355212355216
Belgium,2004,3,0,-0.2316602316602317
Belgium,2008,2,0,-0.3214285714285714
Belgium,2012,3,0,-0.2316602316602317
Belgium,2016,6,0,0.037644787644787604
Belgium,2020,7,0,0.12741312741312738
Belgium,2024,10,0,0.39671814671814665
Belgium,1920,39,1,3.0
Brazil,1896,0,0,-0.9454545454545452
Brazil,1900,0,0,-0.9454545454545452
Brazil,1904,0,0,-0.9454545454545452
Brazil,1906,0,0,-0.9454545454545452
Brazil,1908,0,0,-0.9454545454545452
Brazil,1912,0,0,-0.9454545454545452
Brazil,1920,3,0,-0.3818181818181818
Brazil,1924,0,0,-0.9454545454545452
Brazil,1928,0,0,-0.9454545454545452
Brazil,1932,0,0,-0.9454545454545452
Brazil,1936,0,0,-0.9454545454545452
Brazil,1948,1,0,-0.7575757575757575
Brazil,1952,3,0,-0.3818181818181818
Brazil,1956,1,0,-0.7575757575757575
Brazil,1960,2,0,-0.5696969696969696
Brazil,1964,1,0,-0.7575757575757575
Brazil,1968,3,0,-0.3818181818181818
Brazil,1972,2,0,-0.5696969696969696
Brazil,1976,2,0,-0.5696969696969696
Brazil,1980,4,0,-0.1939393939393939
Brazil,1984,8,0,0.5575757575757575
Brazil,1988,6,0,0.1818181818181818
Brazil,1992,3,0,-0.3818181818181818
Brazil,1996,13,0,1.496969696969697
Brazil,2000,9,0,0.7454545454545454
Brazil,2004,8,0,0.5575757575757575
Brazil,2008,14,0,1.6848484848484846
Brazil,2012,15,0,1.8727272727272726
Brazil,2016,17,1,2.248484848484848
Brazil,2020,21,0,3.0
Brazil,2024,20,0,2.812121212121212
Canada,1896,0,0,-1.0196463654223968
Canada,1900,2,0,-0.8369351669941062
Canada,1904,2,0,-0.8369351669941062
Canada,1906,2,0,-0.8369351669941062
Canada,1908,13,0,0.16797642436149307
Canada,1912,8,0,-0.2888015717092339
Canada,1920,9,0,-0.1974459724950885
Canada,1924,4,0,-0.6542239685658156
Canada,1928,15,0,0.3506876227897838
Canada,1932,14,0,0.25933202357563845
Canada,1936,9,0,-0.1974459724950885
Canada,1948,4,0,-0.6542239685658156
Canada,1952,3,0,-0.7455795677799609
Canada,1956,6,0,-0.47151277013752463
Canada,1960,1,0,-0.9282907662082518
Canada,1964,4,0,-0.6542239685658156
Canada,1968,5,0,-0.5628683693516701
Canada,1972,5,0,-0.5628683693516701
Canada,1980,0,0,-1.0196463654223968
Canada,1984,44,0,3.0
Canada,1988,10,0,-0.1060903732809431
Canada,1992,18,0,0.6247544204322201
Canada,1996,21,0,0.8988212180746562
Canada,2000,14,0,0.25933202357563845
Canada,2004,12,0,0.0766208251473477
Canada,2008,19,0,0.7161100196463654
Canada,2012,18,0,0.6247544204322201
Canada,2016,22,0,0.9901768172888017
Canada,2020,24,0,1.1728880157170924
Canada,2024,27,0,1.4469548133595285
Canada,1976,11,1,-0.014734774066797712
China,1896,0,0,-0.9313636363636363
China,1900,0,0,-0.9313636363636363
China,1904,0,0,-0.9313636363636363
China,1906,0,0,-0.9313636363636363
China,1908,0,0,-0.9313636363636363
China,1912,0,0,-0.9313636363636363
China,1920,0,0,-0.9313636363636363
China,1924,0,0,-0.9313636363636363
China,1928,0,0,-0.9313636363636363
China,1932,0,0,-0.9313636363636363
China,1936,0,0,-0.9313636363636363
China,1948,0,0,-0.9313636363636363
China,1952,0,0,-0.9313636363636363
China,1956,0,0,-0.9313636363636363
China,1960,0,0,-0.9313636363636363
China,1964,0,0,-0.9313636363636363
China,1968,0,0,-0.9313636363636363
China,1972,0,0,-0.9313636363636363
China,1976,0,0,-0.9313636363636363
China,1980,0,0,-0.9313636363636363
China,1984,32,0,0.4213636363636364
China,1988,27,0,0.21000000000000002
China,1992,47,0,1.0554545454545454
China,1996,44,0,0.9286363636363637
China,2000,51,0,1.2245454545454544
China,2004,57,0,1.4781818181818183
China,2012,84,0,2.619545454545454
China,2016,68,0,1.9431818181818181
China,2020,89,0,2.8309090909090906
China,2024,91,0,2.915454545454546
China,2008,93,1,3.0
Finland,1896,0,0,-1.101311084624553
Finland,1900,0,0,-1.101311084624553
Finland,1904,0,0,-1.101311084624553
Finland,1906,4,0,-0.6579261025029798
Finland,1908,5,0,-0.5470798569725864
Finland,1912,23,0,1.4481525625744935
Finland,1920,34,0,2.6674612634088204
Finland,1924,37,0,3.0
Finland,1928,25,0,1.6698450536352802
Finland,1932,25,0,1.6698450536352802
Finland,1936,20,0,1.1156138259833135
Finland,1948,22,0,1.3373063170441002
Finland,1956,15,0,0.5613825983313468
Finland,1960,5,0,-0.5470798569725864
Finland,1964,5,0,-0.5470798569725864
Finland,1968,4,0,-0.6579261025029798
Finland,1972,8,0,-0.2145411203814065
Finland,1976,6,0,-0.4362336114421932
Finland,1980,8,0,-0.2145411203814065
Finland,1984,12,0,0.22884386174016685
Finland,1988,4,0,-0.6579261025029798
Finland,1992,5,0,-0.5470798569725864
Finland,1996,4,0,-0.6579261025029798
Finland,2000,4,0,-0.6579261025029798
Finland,2004,2,0,-0.8796185935637664
Finland,2008,4,0,-0.6579261025029798
Finland,2012,3,0,-0.7687723480333731
Finland,2016,1,0,-0.9904648390941597
Finland,2020,2,0,-0.8796185935637664
Finland,2024,0,0,-1.101311084624553
Finland,1952,21,1,1.2264600715137068
France,1896,11,0,-1.1383495145631066
France,1904,1,0,-1.8907766990291262
France,1906,36,0,0.7427184466019416
France,1908,17,0,-0.686893203883495
France,1912,14,0,-0.9126213592233008
France,1920,39,0,0.9684466019417475
France,1928,24,0,-0.1601941747572815
France,1932,20,0,-0.4611650485436892
France,1936,19,0,-0.5364077669902912
France,1948,32,0,0.4417475728155339
France,1952,18,0,-0.6116504854368932
France,1956,14,0,-0.9126213592233008
France,1960,5,0,-1.5898058252427183
France,1964,15,0,-0.8373786407766988
France,1968,15,0,-0.8373786407766988
France,1972,13,0,-0.9878640776699029
France,1976,9,0,-1.2888349514563104
France,1980,14,0,-0.9126213592233008
France,1984,28,0,0.1407766990291262
France,1988,16,0,-0.762135922330097
France,1992,28,0,0.1407766990291262
France,1996,36,0,0.7427184466019416
France,2000,37,0,0.8179611650485435
France,2004,33,0,0.5169902912621358
France,2008,41,0,1.1189320388349513
France,2012,33,0,0.5169902912621358
France,2016,42,0,1.1941747572815533
France,2020,33,0,0.5169902912621358
France,2024,64,1,2.849514563106796
France,1900,66,1,3.0
France,1924,37,1,0.8179611650485435
Germany,1896,13,0,-0.5688487584650112
Germany,1900,2,0,-1.0306997742663655
Germany,1904,15,0,-0.4848758465011286
